request	Recommend list
건강식 맛집	['물꽁식당', '큰손짜장', '대가', '제일회센타', '남다른감자탕']
골목맛집 투어 여행	['홍화', '파스타부오노(거창점)', '물꽁식당', '은혜갈비', '어미정']
차타고 가기좋은 식당	['제일회센타', '큰손짜장', '물꽁식당', '대가', '성심농장가든']
날씨좋은 날 나들이 맛집	['물꽁식당', '큰손짜장', '할머니국밥집', '대가', '은혜갈비']
어버이날 부모님	['물꽁식당', '제일회센타', '대가', '성심농장가든', '큰손짜장']
육즙가득 고기집	['청풍갈비살', '숯불한판석동점', '보리네생고깃간(고현점)', '황부자숯불갈비', '남양토담오리']
가벼운 맥주와 어울리는 맛집	['큰손짜장', '제일회센타', '대가', '성심농장가든', '서울삼계탕']
여름휴가때 가기좋은 식당	['새풍화식당', '목포밴댕이', '수어지', '주왕산삼계탕', '황금나무숯불갈비']
더운여름 몸보신 메뉴	['물꽁식당', '은혜갈비', '할머니국밥집', '아자방', '큰손짜장']
인생 맛집	['홍화', '풍년복집', '파스타부오노(거창점)', '지리산마천흑돼지', '수어지']
바다 풍경이 예쁜 레스토랑	['백우숯불갈비', '어드메', '남강식당', '오감원 레스토랑', '조방낙지(양산)']
부모님과 함께 하기 위한 맛집 추천	['물꽁식당', '큰손짜장', '할머니국밥집', '대가', '은혜갈비']
아이가 좋아하는 갈비 맛집	['성심농장가든', '제일회센타', '대가', '큰손짜장', '서울삼계탕']
국물이 시원한 해물탕	['홍화', '주왕산삼계탕', '파스타부오노(거창점)', '뚱보화로불고기 칠암점', '수어지']
신선하고 가성비 좋은 횟집 추천	['목포밴댕이', '새풍화식당', '아자방', '홍화', '황금나무숯불갈비']
포장가능한 근처 낙지 맛집	['큰손짜장', '대가', '물꽁식당', '제일회센타', '할머니국밥집']
푸짐한 매운탕	['조방낙지(양산)', '오감원 레스토랑', '어드메', '백우숯불갈비', '진송추어탕(양산)']
단체 모임하기 좋은 맛집 추천	['제일회센타', '성심농장가든', '큰손짜장', '대가', '물꽁식당']
해물이 푸짐한 식당	['지리산마천흑돼지', '홍화', '풍년복집', '파스타부오노(거창점)', '소반']
특별한 날 기념하기 좋은 식당 추천	['은혜갈비', '파스타부오노(거창점)', '홍화', '목포밴댕이', '할머니국밥집']
부모님 칠순잔치 하기 좋은 곳	['성심농장가든', '제일회센타', '서울삼계탕', '대가', '큰손짜장']
연인과 화해하기 좋은 식당 추천	['물꽁식당', '대가', '큰손짜장', '은혜갈비', '할머니국밥집']
10년만의 동창회 모임하기 좋은 식당	['성심농장가든', '제일회센타', '서울삼계탕', '대가', '큰손짜장']
골프 라운딩 후 꼭 가야하는 음식 추천	['목포밴댕이', '아자방', '황금나무숯불갈비', '어미정', '은혜갈비']
직원들과 회식하기 좋은 식당	['성심농장가든', '제일회센타', '큰손짜장', '대가', '서울삼계탕']
죽기 전에 꼭 가야하는 국내 한식집	['대가', '큰손짜장', '제일회센타', '아자방', '물꽁식당']
콜키지가 필요없는 식당 추천	['소반', '파스타부오노(거창점)', '지리산마천흑돼지', '풍년복집', '홍화']
반포 한강지구에서 꼭 시켜먹는 배달 맛집	['성심농장가든', '제일회센타', '큰손짜장', '대가', '서울삼계탕']
춘천 자전거 여행 시 꼭 들려야 하는 집	['제일회센타', '큰손짜장', '대가', '아자방', '서울삼계탕']
간장 게장 맛집 추천	['할머니국밥집', '은혜갈비', '아자방', '큰손짜장', '대가']
